எண்,குறிப்பு,சீர்,சொல்,பொருள்,சொல்_மூலம் 1,சொல்_மூலம் 2,சொல்_மூலம் 3
1,,அகர,அகர,,அகரம்,,
,,முதல,முதல,,முதல்,,  
,,வெழுத்தெல்லா,எழுத்து,,எழுத்து,,
,,,எல்லாம்,,எல்லாம்,,
,,மாதி,ஆதி,,ஆதி,,
,,பகவன்,பகவன்,,பகவன்,,
,,முதற்றே,முதற்றே,,முதல்,,
,,யுலகு,உலகு,,உலகம்,,
,,,,,,,
2,,கற்றதனா,கற்றது,"கற்றல், கல்",கற்றல்,கல்,
,,,அதனால்,,அதனால்,,
,0,லாய,ஆய,,,,
,,பயனென்கொல்,பயன்,,பயன்,,
,,,என்,,என்ன,,
,0,,கொல்,,,,
,0,வாலறிவ,வால்,,,,
,,,அறிவன்,,அறி,,
,,னற்றா,நல்,நல்ல,நல்ல,,
,,,தாள்,"அடி, திருவடி",தாள்,,
,,டொழாஅ,தொழாஅர்,தொழு,தொழு,,
,,ரெனின்,எனின்,என்றால்,எனின்,,
,,,,,,,
3,,மலர்மிசை,மலர்,,மலர்,,
,0,,மிசை,,,,
,0,யேகினான்,ஏகினான்,,,,
,0,மாணடி,மாண்,மாட்சிமை,,,
,,,அடி,,அடி,,
,,சேர்ந்தார்,சேர்ந்தார்,,சேர்,,
,,நிலமிசை,நில,நிலம்,நிலம்,,
,0,,மிசை,,,,
,,நீடுவாழ்,நீடு,நீண்டு,நீண்டு,,
,,,வாழ்வார்,,வாழ்,,
,,வார்,,,,,
,,,,,,,
4,,வேண்டுதல்,வேண்டுதல்,,வேண்டு,,
,,வேண்டாமை,வேண்டாமை,,வேண்டு,,
,,யிலானடி,இலான்,இல்லாதவன்,இல்லை,,
,,,அடி,,அடி,,
,,சேர்ந்தார்க்,சேர்ந்தார்க்கு,,சேர்,,
,0,கியாண்டு,யாண்டும்,"என்றும், என்றென்றும்",,,
,0,மிடும்பை,இடும்பை,துன்பம் (இடும்பு),,,
,,யில,இல,,இல்லை,,
,,,,,,,
5,,இருள்சே,இருள்,,இருள்,,
,,,சேர்,,சேர்,,
,,ரிருவினையுஞ்,இரு,,இரு,,
,,,வினையும்,,வினை,,
,,சேரா,சேரா,,சேர்,,
,,விறைவன்,இறைவன்,,இறைவன்,,
,,பொருள்சேர்,பொருள்,,பொருள்,,
,,,சேர்,,சேர்,,
,,புகழ்புரிந்தார்,புகழ்,,புகழ்,,
,,,புரிந்தார்,,புரி,,
,0,மாட்டு,மாட்டு,,,,
,,,,,,,
6,,பொறிவாயி,பொறி,"பொறி - மெய், வாய், கண், மூக்கு, செவி",பொறி,,
,,,வாயில்,வழியாக,வாயில்,,
,,லைந்தவித்தான்,ஐந்து,ஐந்து பொறிகளால் ஏற்படும் இன்பம் அல்லது ஆசை,ஐந்து,,
,0,,அவித்தான்,"அவிழ்த்தான், அறுத்தான்",,,
,,பொய்தீ,பொய்,பொய்தீர் - மெய்யான,பொய்,,
,0,,தீர்,,,,
,,ரொழுக்க,ஒழுக்கம்,,ஒழுக்கம்,,
,,நெறிநின்றார்,நெறி,,நெறி,,
,,,நின்றார்,,நில்,,
,,நீடுவாழ்,நீடு,நீண்டு,நீள்,,
,,,வாழ்வார்,,வாழ்,,
,,வார்,,,,,
,,,,,,,
7,,தனக்குவமை,தனக்கு,,தன்,தனக்கு,
,,,உவமை,,உவமை,,
,,யில்லாதான்,இல்லாதான்,இல்லாதவன்,இல்லை,,
,,றாள்சேர்ந்தார்க்,தாள்,"அடி, திருவடி",தாள்,,
,,,சேர்ந்தார்க்கு,,சேர்,,
,,கல்லால்,அல்லால்,அல்லாது,அல்லாது,,
,,மனக்கவலை,மனம்,,மனம்,,
,,,கவலை,,கவலை,,
,,மாற்ற,மாற்றல்,,மாற்றல்,மாற்று,மாறு
,,லரிது,அரிது,,அரிது,,
,,,,,,,
8,,அறவாழி,அறம்,,அறம்,,
,,,ஆழி,கடல்,ஆழி,,
,,யந்தணன்,அந்தணன்,,அந்தணன்,,
,,றாள்சேர்ந்தார்க்,தாள்,"அடி, திருவடி",தாள்,,
,,,சேர்ந்தார்க்கு,,சேர்,,
,,கல்லாற்,அல்லால்,அல்லாது,அல்லாது,,
,,பிறவாழி,பிறவி,,பிறவி,,
,,,ஆழி,கடல்,ஆழி,,
,,நீத்த,நீத்தல்,நீந்துதல்,நீந்து,,
,,லரிது,அரிது,,அரிது,,
,,,,,,,
9,0,கோளில்,கோளில்,,,,
,,பொறியிற்,பொறியில்,,பொறி,,
,,குணமிலவே,குணம்,,குணம்,,
,,,இலவே,இல்லை,இல்லை,,
,,யெண்குணத்தான்,எண்,எட்டு,எண்,,
,,,குணத்தான்,,குணம்,,
,,றாளை,தாளை,,தாள்,,
,,வணங்காத்,வணங்கா,வணங்காத,வணங்கு,,
,,தலை,தலை,,தலை,,
,,,,,,,
10,,பிறவிப்,பிறவி,,பிறவி,,
,,பெருங்கட,பெரும்,பெரிய,பெரிய,பெரும்,
,,,கடல்,,கடல்,,
,,னீந்துவர்,நீந்துவர்,,நீந்து,,
,,நீந்தா,நீந்தார்,,நீந்து,,
,,ரிறைவ,இறைவன்,,இறைவன்,இறை,
,,னடிசேரா,அடி,,அடி,,
,,,சேராதார்,சேராதவர்,சேர்,,
,,தார்,,,,,
