எண்,குறிப்பு,சீர்,சொல்,பொருள்,சொல்_மூலம் 1,சொல்_மூலம் 2,சொல்_மூலம் 3
21,,ஒழுக்கத்து,ஒழுக்கத்து,,ஒழுக்கம்,,
,,நீத்தார்,நீத்தார்,துறந்தார்,நீத்தல்,,
,,பெருமை,பெருமை,,பெருமை,,
,0,விழுப்பத்து,விழுப்பத்து,"விழுமம், சிறப்பு, நன்மை",,,
,,வேண்டும்,வேண்டும்,,வேண்டும்,,
,,பனுவற்,பனுவல்,"நூல், புத்தகம்",பனுவல்,,
,,றுணிவு,துணிவு,,துணிவு,,
,,,,,,,
22,,துறந்தார்,துறந்தார்,,துறந்தார்,துற,
,,பெருமை,பெருமை,,பெருமை,,
,,துணைக்கூறின்,துணை,,துணை,,
,,,கூறின்,,கூறு,,
,,வையத்,வையத்து,உலகம்,வையம்,,
,,திறந்தாரை,இறந்தாரை,,இறந்தார்,இறப்பு,
,,யெண்ணிக்கொண்,எண்ணி,,எண்ணுதல்,எண்,
,,,கொண்டு,,கொண்டு,கொள்,
,,டற்று,அற்று,,,,
,,,,,,,
23,,இருமை,இருமை,,இருமை,இரு,
,,வகைதெரிந்,வகை,,வகை,,
,,,தெரிந்து,,தெரி,,
,0,தீண்டறம்,ஈண்டு,,,,
,,,அறம்,,அறம்,,
,0,பூண்டார்,பூண்டார்,பூணுதல்? Wear? செய்தார்,,,
,,பெருமை,பெருமை,,பெருமை,,
,0,பிறங்கிற்,பிறங்கிற்று,,,,
,,றுலகு,உலகு,,உலகம்,,
,,,,,,,
24,0,உரனென்னுந்,உரன்,அறிவு,,,
,,,என்னும்,,என்னும்,,
,0,தோட்டியா,தோட்டியான்,யானைப்பாகன்?,,,
,,னோரைந்துங்,ஓர்,,ஓர்,ஒரு,
,,,ஐந்தும்,,ஐந்து,,
,,காப்பான்,காப்பான்,,காத்தல்,காப்பு,
,0,வரனென்னும்,வரன்,,,,
,,,என்னும்,,என்னும்,,
,0,வைப்புக்கோர்,வைப்பிற்கு,,,,
,,,ஓர்,,ஓர்,ஒரு,
,,வித்து,வித்து,,வித்து,விதை,
,,,,,,,
25,,ஐந்தவித்தா,ஐந்து,,ஐந்து,,
,0,,அவித்தான்,,,,
,,னாற்ற,ஆற்றல்,,ஆற்றல்,,
,0,லகல்விசும்பு,அகல்,,,,
,,,விசும்பு,,விசும்பு,,
,0,ளார்கோமா,உளர்,,,,
,0,,கோமான்,,,,
,,னிந்திரனே,இந்திரனே,,இந்திரன்,,
,0,சாலுங்,சாலும்,,,,
,0,கரி,கரி,,,,
,,,,,,,
26,,செயற்கரிய,செயல்,,செயல்,செய்,
,,,அரிய,,அரிது,,
,,செய்வார்,செய்வார்,,செய்,,
,,பெரியர்,பெரியர்,,பெரியர்,பெரிது,
,,சிறியர்,சிறயர்,,சிறியர்,சிறிது,
,,செயற்கரிய,செயல்,,செயல்,,
,,,அரிய,,அரிது,,
,,செய்கலா,செய்கலாதார்,,செய்,,
,0,தார்,,,,,
,,,,,,,
27,,சுவையொளி,சுவை,,சுவை,,
,,,ஒளி,,ஒளி,,
,0,யூறோசை,ஊறு,,,,
,,,ஓசை,,ஓசை,,
,,நாற்றமென்,நாற்றம்,,நாற்றம்,,
,,,என்ற,,என்ற,,
,,றைந்தின்,ஐந்தின்,,ஐந்து,,
,,வகைதெரிவான்,வகை,,வகை,,
,,,தெரிவான்,,தெரி,,
,0,கட்டே,கட்டே,இடத்தே,,,
,,யுலகு,உலகு,,உலகம்,,
,,,,,,,
28,,நிறைமொழி,நிறை,,நிறை,,
,,,மொழி,,மொழி,,
,,மாந்தர்,மாந்தர்,,மாந்தர்,,
,,பெருமை,பெருமை,,பெருமை,,
,0,நிலத்து,நிலத்து,,,,
,,மறைமொழி,மறை,,மறை,,
,,,மொழி,,மொழி,,
,,காட்டி,காட்டி,,காட்டு,காண்பி,
,,விடும்,விடும்,,விடு,,
,,,,,,,
29,,குணமென்னுங்,குணம்,,குணம்,,
,,,என்னும்,,என்னும்,,
,,குன்றேறி,குன்று,,குன்று,,
,,,ஏறி,,ஏறு,,
,,நின்றார்,நின்றார்,,நில்,,
,,வெகுளி,வெகுளி,,வெகுளி,,
,,கணமேயுங்,கணம்,,கணம்,,
,0,,ஏயும்,,,,
,,காத்த,காத்தல்,,காத்தல்,,
,,லரிது,அரிது,,அரிது,,
,,,,,,,
30,,அந்தண,அந்தணர்,,அந்தணர்,,
,,ரென்போ,என்போர்,,என்பவர்,,
,,ரறவோர்மற்,அறவோர்,,அறவோர்,,
,,,மற்ற,,மற்ற,,
,,றெவ்வுயிர்க்குஞ்,எந்த,,எந்த,,
,,,உயிர்க்கும்,,உயிர்,,
,,செந்தண்மை,செம்மை,,செம்மை,,
,0,,தண்மை,,,,
,0,பூண்டொழுக,பூண்டு,,,,
,,,ஒழுகலான்,,ஒழுகு,,
,0,லான்,,,,,
