எண்,குறிப்பு,சீர்,சொல்,பொருள்,சொல்_மூலம் 1,சொல்_மூலம் 2,சொல்_மூலம் 2
51,0,மனைத்தக்க,மனை,இல்லம்? இல்லறம்?,மனை,,
,,,தக்க,"ஏற்ற, தகுந்த",தக்க,,
,0,மாண்புடைய,மாண்பு,,மாண்பு,,
,,,உடையள்,,உடை,,
,,ளாகித்தற்,ஆகி,,ஆகு,,
,,,தன்,,தன்,,
,,கொண்டான்,கொண்டான்,,கொண்டு,,
,,வளத்தக்காள்,வளம்,,வளம்,,
,0,,தக்காள்,"தகுந்தவள், ஏற்றவள்",தக்க,,
,,வாழ்க்கைத்,வாழ்க்கை,,வாழ்க்கை,,
,,துணை,துணை,,துணை,,
,,,,,,,
52,0,மனைமாட்சி,மனை,இல்லம்? இல்லறம்?,மனை,,
,0,,மாட்சி,,மாட்சி,,
,,யில்லாள்க,இல்லாள்,மனைவி,இல்லம்,இல்லாள்,
,0,,கண்,இடத்தே,கண்,,
,,ணில்லாயின்,இல்,இல்லை,,,
,0,,ஆயின்,ஆகின்?,ஆயின்,,
,,வாழ்க்கை,வாழ்க்கை,,வாழ்க்கை,,
,0,யெனைமாட்சித்,எனை,,,,
,0,,மாட்சித்து,,மாட்சி,,
,0,தாயினு,ஆயினும்,,ஆயின்,,
,,மில்,இல்,,இல்லை,,
,,,,,,,
53,,இல்லதெ,இல்லது,இல்லாதது,இல்லது,,
,,,என்,"என்ன, யாது",என்,என்ன,
,0,னில்லவண்,இல்லவள்,மனைவி (ள் -> ண் ஆகத் திரிந்ததா?),,,
,,மாண்பானா,மாண்பு,,மாண்பு,,
,,,ஆனால்,,ஆனால்,,
,,லுள்ளதெ,உள்ளது,"உள்ளது, இருப்பது",உள்ளது,,
,,,என்,"என்ன, யாது",என்ன,,
,0,னில்லவண்,இல்லவள்,மனைவி (ள் -> ண் ஆகத் திரிந்ததா?),,,
,0,மாணாக்,மாணாக்கடை,,,,
,0,கடை,,,,,
,,,,,,,
54,,பெண்ணிற்,பெண்ணின்,,பெண்,,
,,பெருந்தக்க,பெரும்,,பெரிய,,
,0,,தக்க,,,,
,0,யாவுள,யாஉள,,,,
,,கற்பென்னுந்,கற்பு,,கற்பு,,
,,,என்னும்,,என்னும்,,
,,திண்மையுண்,திண்மை,,திண்மை,,
,,,உண்டு,,உண்டு,,
,,டாகப்,ஆகப்,,ஆகு,,
,,பெறின்,பெறின்,,பெறு,,
,,,,,,,
55,,தெய்வந்,தெய்வம்,,தெய்வம்,,
,,தொழாஅள்,தொழாள்,தொழாதவள்,தொழு,,
,0,கொழுநற்,கொழு,,,,
,0,,நன்,,,,
,,றொழுதெழுவாள்,தொழுது,,தொழு,,
,,,எழுவாள்,,எழு,,
,0,பெய்யெனப்,பெய்,,பெய்தல்,பெய்,
,,,எனப்,,என,,
,,பெய்யு,பெய்யும்,,பெய்தல்,,
,,மழை,மழை,,மழை,,
,,,,,,,
56,,தற்காத்துத்,தன்,தற்காத்து (தன்னைக் காத்தல்),தன்,,
,,,காத்து,,காத்தல்,,
,,தற்கொண்டாற்,தன்,தன்கொண்டான் (தன்னைக் கொண்டவன்),தன்,,
,,,கொண்டான்,,கொண்டு,,
,0,பேணித்,பேணி,பேணித்தல் - உபசரிப்பு?,,,
,0,தகைசான்ற,தகை,,,,
,0,,சான்ற,,,,
,,சொற்காத்துச்,சொல்,,சொல்,,
,,,காத்து,,காத்தல்,,
,,சோர்விலாள்,சோர்வு,,சோர்வு,,
,,,இலாள்,இல்லாதவள்,இல்லை,,
,,பெண்,பெண்,,பெண்,,
,,,,,,,
57,,சிறைகாக்குங்,சிறை,,சிறை,,
,,,காக்கும்,,காத்தல்,,
,,காப்பெவன்,காப்பு,,காப்பு,,
,,,எவன்,,எவன்,,
,,செய்யு,செய்யும்,,செய்,,
,,மகளிர்,மகளிர்,,மகளிர்,,
,0,நிறைகாக்குங்,நிறை,நிறை எதை குறிக்கிறது?,,,
,,,காக்கும்,,காத்தல்,,
,,காப்பே,காப்பே,,காப்பு,,
,,தலை,தலை,"சிறந்தது, தலையானது",தலை,,
,,,,,,,
58,,பெற்றார்ப்,பெற்றார்,,பெறு,பெற்றார்,
,,பெறிற்பெறுவர்,பெறின்,,பெறு,,
,,,பெறுவர்,,பெறு,,
,,பெண்டிர்,பெண்டிர்,மகளிர்,பெண்டிர்,பெண்,
,,பெருஞ்சிறப்புப்,பெரும்,,பெரிய,,
,,,சிறப்பும்,,சிறப்பு,,
,0,புத்தேளிர்,புத்தேளிர்,தேவர்?,,,
,,வாழு,வாழும்,,வாழ்,,
,,முலகு,உலகு,,உலகம்,,
,,,,,,,
59,,புகழ்புரிந்,புகழ்,,புகழ்,,
,0,,புரிந்து,,புரி,புரிதல்,
,0,தில்லிலோர்க்,இல்,,,,
,0,,இலோர்க்கு,,,,
,,கில்லை,இல்லை,,இல்லை,,
,,யிகழ்வார்முன்,இகழ்வார்,,இகழ்,இகழ்வார்,
,,,முன்,,முன்,,
,,னேறுபோற்,ஏறு,காளை,ஏறு,,
,,,போல்,,போல்,,
,0,பீடு,பீடு,பெருமிதம்?,,,
,,நடை,நடை,,நடை,,
,,,,,,,
60,0,மங்கல,மங்கலம்,,,,
,,மென்ப,என்ப,,என்பது,,
,0,மனைமாட்சி,மனை,,மனை,,
,0,,மாட்சி,,மாட்சி,,
,,மற்றத,மற்று,,மற்ற,,
,,,அதன்,,அதன்,,
,,னன்கல,நன்,,நன்,நல்ல,
,0,,கலன்,,,,
,,னன்மக்கட்,நன்,,நன்,நல்ல,
,,,மக்கள்,,மக்கள்,,
,,பேறு,பேறு,,பேறு,,
