எண் ,குறிப்பு ,சீர் ,சொல் ,பொருள் ,சொல்_மூலம்  1,சொல்_மூலம்  2,சொல்_மூலம்  3
391,,கற்க ,கற்க,கற்பது ,கற்றல் ,கல்,
,0,கசடறக் ,கசடு ,"பழுது, அழுக்கு ",கசடு ,,
,0,,அற ,"நீக்குதல், இல்லாமல் ",அற,,
,,கற்பவை ,கற்பவை,"கற்றவை, கற்கப்படுபவை",கற்றல் ,,
,,கற்றபி ,கற்ற ,கற்ற ,கற்றல் ,,
,,,பின் ,பின்னர் ,பின் ,,
,,னிற்க,நிற்க ,"நிற்பது, அதன் படி நடப்பது ",நில்,,
,,வதற்குத் ,அதற்கு ,அதற்கு ,அதற்கு ,,
,,தக ,தக,தகுந்த வாரு ,தக்க ,தகுந்த ,
,,,,,,,
392,,எண்ணென்ப,எண் ,எண்கள் ,எண் ,,
,,,என்ப ,என்பதும் ,என்ப ,,
,0,வேனை,ஏனை ,"மற்ற, ஏனைய, பிற",ஏனை,,
,,யெழுத்தென்ப ,எழுத்து ,எழுத்து ,எழுத்து ,,
,,,என்ப ,என்பதும் ,என்பது ,,
,,விவ்விரண்டுங் ,இவை ,இவை,இவை ,,
,,,இரண்டும் ,இரண்டும் ,இரண்டு ,,
,,கண்ணென்ப ,கண் ,கண் ,கண் ,,
,,,என்ப ,என்ப ,என்பது ,,
,,வாழு ,வாழும் ,வாழ்தல் ,வாழ்,,
,,முயிர்க்கு ,உயிர்க்கு ,"உயிர்கள், மனிதர்கள் ",உயிர் ,,
,,,,,,,
393,,கண்ணுடைய  ,கண் ,கண் ,கண் ,,
,,,உடையர் ,"உடையவார், கொண்டவர் ",உடை,,
,,ரென்பவர் ,என்பவர் ,எனப்படுபவர் ,என்பவர் ,,
,,கற்றோர் ,கற்றோர் ,"கற்றோர், கல்வி உடையோர் ",கற்றோர்,,
,,முகத்திரண்டு ,முகத்து,முகத்திலே,முகம் ,,
,,,இரண்டு ,இரண்டு ,இரண்டு ,,
,,புண்ணுடையர் ,புண் ,"புண், காயம் ",புண்,,
,,,உடையர் ,உடையவர் ,உடை,,
,,கல்லா ,கல்லாத,"கல்லாதவர் - கல்வி கல்லாதவர், கற்காதவர்",கல்லாதவர்,,
,,தவர் ,அவர்,,,,
,,,,,,,
394,0,உவப்பத் ,உவப்ப ,மகிழும்படி ,,,
,,தலைக்கூடி ,தலை ,தலை ,தலை ,,
,,,கூடி ,சேர்ந்து ,கூடு,கூடுதல்,
,,யுள்ளப் ,உள்ள ,நினைக்கும்படி ,உள்ளம் ,,
,,பிரித ,பிரிதல் ,பிரிவது ,பிரிதல் ,பிரி,
,0,லனைத்தே ,அனைத்தே ,அந்த தன்மை உடைய ,,,
,,புலவர் ,புலவர் ,கற்றோர் ,புலவர் ,,
,,தொழில் ,தொழில் ,"தொழில், வேலை ",தொழில்,,
