பால்,இயல்,அதிகாரம் தலைப்பு,அதிகாரம் எண்,சுற்று 1 – ஒதுக்கீடு,குறிப்பு
அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,1,தீபக் சண்முகம்,
அறத்துப்பால்,பாயிரவியல்,வான் சிறப்பு,2,தீபக் சண்முகம்,
அறத்துப்பால்,பாயிரவியல்,நீத்தார் பெருமை,3,தீபக் சண்முகம்,
அறத்துப்பால்,பாயிரவியல்,அறன் வலியுறுத்தல்,4,தீபக் சண்முகம்,
அறத்துப்பால்,இல்லறவியல்,இல்வாழ்க்கை,5,தீபக் சண்முகம்,
அறத்துப்பால்,இல்லறவியல்,வாழ்க்கைத் துணைநலம்,6,தீபக் சண்முகம்,
அறத்துப்பால்,இல்லறவியல்,புதல்வரைப் பெறுதல்,7,தீபக் சண்முகம்,
அறத்துப்பால்,இல்லறவியல்,அன்புடைமை,8,தீபக் சண்முகம்,
அறத்துப்பால்,இல்லறவியல்,விருந்தோம்பல்,9,தீபக் சண்முகம்,
அறத்துப்பால்,இல்லறவியல்,இனியவைக் கூறல்,10,தீபக் சண்முகம்,
அறத்துப்பால்,இல்லறவியல்,செய்ந்நன்றி அறிதல்,11,தீபக் சண்முகம்,0
அறத்துப்பால்,இல்லறவியல்,,12,,
அறத்துப்பால்,இல்லறவியல்,அடக்கம் உடைமை,13,இசாக் முகமது,
அறத்துப்பால்,இல்லறவியல்,,14,,
அறத்துப்பால்,இல்லறவியல்,,15,,
அறத்துப்பால்,இல்லறவியல்,,16,,
அறத்துப்பால்,இல்லறவியல்,,17,,
அறத்துப்பால்,இல்லறவியல்,,18,,
அறத்துப்பால்,இல்லறவியல்,,19,,
அறத்துப்பால்,இல்லறவியல்,,20,,
அறத்துப்பால்,இல்லறவியல்,,21,,
அறத்துப்பால்,இல்லறவியல்,,22,,
அறத்துப்பால்,இல்லறவியல்,,23,,
அறத்துப்பால்,இல்லறவியல்,,24,,
அறத்துப்பால்,துறவறவியல்,,25,,
அறத்துப்பால்,துறவறவியல்,,26,,
அறத்துப்பால்,துறவறவியல்,,27,,
அறத்துப்பால்,துறவறவியல்,,28,,
அறத்துப்பால்,துறவறவியல்,,29,,
அறத்துப்பால்,துறவறவியல்,,30,,
அறத்துப்பால்,துறவறவியல்,,31,,
அறத்துப்பால்,துறவறவியல்,,32,,
அறத்துப்பால்,துறவறவியல்,,33,,
அறத்துப்பால்,துறவறவியல்,,34,,
அறத்துப்பால்,துறவறவியல்,,35,,
அறத்துப்பால்,துறவறவியல்,,36,,
அறத்துப்பால்,துறவறவியல்,,37,,
அறத்துப்பால்,ஊழியல்,,38,,
பொருட்பால்,அரசியல்,,39,,
பொருட்பால்,அரசியல்,கல்வி,40,இசாக் முகமது,
பொருட்பால்,அரசியல்,,41,,
பொருட்பால்,அரசியல்,,42,,
பொருட்பால்,அரசியல்,அறிவுடைமை,43,இசாக் முகமது,0
பொருட்பால்,அரசியல்,,44,,
பொருட்பால்,அரசியல்,,45,,
பொருட்பால்,அரசியல்,,46,,
பொருட்பால்,அரசியல்,,47,,
பொருட்பால்,அரசியல்,,48,,
பொருட்பால்,அரசியல்,காலமறிதல்,49,இசாக் முகமது,
பொருட்பால்,அரசியல்,,50,,
பொருட்பால்,அரசியல்,,51,,
பொருட்பால்,அரசியல்,,52,,
பொருட்பால்,அரசியல்,,53,,
பொருட்பால்,அரசியல்,,54,,
பொருட்பால்,அரசியல்,,55,,
பொருட்பால்,அரசியல்,,56,,
பொருட்பால்,அரசியல்,,57,,
பொருட்பால்,அரசியல்,,58,,
பொருட்பால்,அரசியல்,,59,,
பொருட்பால்,அரசியல்,,60,,
பொருட்பால்,அரசியல்,,61,,
பொருட்பால்,அரசியல்,,62,,
பொருட்பால்,அரசியல்,,63,,
பொருட்பால்,அமைச்சியல்,,64,,
பொருட்பால்,அமைச்சியல்,,65,,
பொருட்பால்,அமைச்சியல்,,66,,
பொருட்பால்,அமைச்சியல்,,67,,
பொருட்பால்,அமைச்சியல்,,68,,
பொருட்பால்,அமைச்சியல்,,69,,
பொருட்பால்,அமைச்சியல்,,70,,
பொருட்பால்,அமைச்சியல்,,71,,
பொருட்பால்,அமைச்சியல்,,72,,
பொருட்பால்,அமைச்சியல்,,73,,
பொருட்பால்,அரணியல்,,74,,
பொருட்பால்,அரணியல்,,75,,
பொருட்பால்,கூழியல்,,76,,
பொருட்பால்,படையியல்,,77,,
பொருட்பால்,படையியல்,,78,,
பொருட்பால்,நட்பியல்,,79,,
பொருட்பால்,நட்பியல்,,80,,
பொருட்பால்,நட்பியல்,,81,,
பொருட்பால்,நட்பியல்,,82,,
பொருட்பால்,நட்பியல்,,83,,
பொருட்பால்,நட்பியல்,,84,,
பொருட்பால்,நட்பியல்,,85,,
பொருட்பால்,நட்பியல்,,86,,
பொருட்பால்,நட்பியல்,,87,,
பொருட்பால்,நட்பியல்,,88,,
பொருட்பால்,நட்பியல்,,89,,
பொருட்பால்,நட்பியல்,,90,,
பொருட்பால்,நட்பியல்,,91,,
பொருட்பால்,நட்பியல்,,92,,
பொருட்பால்,நட்பியல்,,93,,
பொருட்பால்,நட்பியல்,,94,,
பொருட்பால்,நட்பியல்,,95,,
